safebrowsing,malicious,token_count,ASNno,largest_path,largest_token,URL,sec_sen_word_cnt,IPaddress_presence,largest_domain,No_of_dots,host,Length_of_url,domain_token_count,avg_path_token,path_token_count,path,avg_token_length,avg_domain_token_length,Length_of_host
-1,1,2,-1,18,18,diaryofagameaddict.com,0,0,0,1,,22,0,10.5,2,diaryofagameaddict.com,10.5,0,0
-1,1,3,-1,9,9,espdesign.com.au,0,0,0,2,,16,0,4.666666666666667,3,espdesign.com.au,4.666666666666667,0,0
-1,1,2,-1,14,14,iamagameaddict.com,0,0,0,1,,18,0,8.5,2,iamagameaddict.com,8.5,0,0
-1,1,2,-1,9,9,kalantzis.net,0,0,0,1,,13,0,6.0,2,kalantzis.net,6.0,0,0
-1,1,2,-1,17,17,slightlyoffcenter.net,0,0,0,1,,21,0,10.0,2,slightlyoffcenter.net,10.0,0,0
-1,1,2,-1,12,12,toddscarwash.com,0,0,0,1,,16,0,7.5,2,toddscarwash.com,7.5,0,0
-1,1,2,-1,10,10,tubemoviez.com,0,0,0,1,,14,0,6.5,2,tubemoviez.com,6.5,0,0
-1,1,2,-1,3,3,ipl.hk,0,0,0,1,,6,0,2.5,2,ipl.hk,2.5,0,0
-1,1,7,-1,11,11,crackspider.us/toolbar/install.php?pack=exe,0,0,0,2,,43,0,6.0,5,crackspider.us/toolbar/install.php,5.285714285714286,0,0
-1,1,3,-1,6,6,pos-kupang.com/,0,0,0,1,,15,0,4.0,3,pos-kupang.com/,4.0,0,0
-1,1,2,-1,5,5,rupor.info,0,0,0,1,,10,0,4.5,2,rupor.info,4.5,0,0
-1,1,10,-1,13,13,svision-online.de/mgfi/administrator/components/com_babackup/classes/fx29id1.txt,0,0,0,2,,80,0,7.1,10,svision-online.de/mgfi/administrator/components/com_babackup/classes/fx29id1.txt,7.1,0,0
-1,1,7,-1,8,16,officeon.ch.ma/office.js?google_ad_format=728x90_as,0,0,0,3,,51,0,4.0,5,officeon.ch.ma/office.js,6.428571428571429,0,0
-1,1,3,-1,4,4,sn-gzzx.com,0,0,0,1,,11,0,3.0,3,sn-gzzx.com,3.0,0,0
-1,1,5,-1,7,7,sunlux.net/company/about.html,0,0,0,2,,29,0,5.0,5,sunlux.net/company/about.html,5.0,0,0
-1,1,2,-1,7,7,outporn.com,0,0,0,1,,11,0,5.0,2,outporn.com,5.0,0,0
-1,1,3,-1,12,12,timothycopus.aimoo.com,0,0,0,2,,22,0,6.666666666666667,3,timothycopus.aimoo.com,6.666666666666667,0,0
-1,1,2,-1,11,11,xindalawyer.com,0,0,0,1,,15,0,7.0,2,xindalawyer.com,7.0,0,0
-1,1,6,-1,11,11,freeserials.spb.ru/key/68703.htm,0,0,0,3,,32,0,4.5,6,freeserials.spb.ru/key/68703.htm,4.5,0,0
-1,1,3,-1,13,13,deletespyware-adware.com,0,0,0,1,,24,0,7.333333333333333,3,deletespyware-adware.com,7.333333333333333,0,0
-1,1,5,-1,9,9,orbowlada.strefa.pl/text396.htm,0,0,0,3,,31,0,5.4,5,orbowlada.strefa.pl/text396.htm,5.4,0,0
-1,1,2,-1,9,9,ruiyangcn.com,0,0,0,1,,13,0,6.0,2,ruiyangcn.com,6.0,0,0
-1,1,2,-1,4,4,zkic.com,0,0,0,1,,8,0,3.5,2,zkic.com,3.5,0,0
-1,1,15,-1,9,10,adserving.favorit-network.com/eas?camp=19320;cre=mu&grpid=1738&tag_id=618&nums=FGApbjFAAA,0,0,0,2,,89,0,5.8,5,adserving.favorit-network.com/eas,5.0,0,0
-1,1,4,-1,6,6,cracks.vg/d1.php,0,0,0,2,,16,0,3.25,4,cracks.vg/d1.php,3.25,0,0
-1,1,2,-1,15,15,juicypussyclips.com,0,0,0,1,,19,0,9.0,2,juicypussyclips.com,9.0,0,0
-1,1,2,-1,13,13,nuptialimages.com,0,0,0,1,,17,0,8.0,2,nuptialimages.com,8.0,0,0
-1,1,2,-1,9,9,andysgame.com,0,0,0,1,,13,0,6.0,2,andysgame.com,6.0,0,0
-1,1,2,-1,11,11,bezproudoff.cz,0,0,0,1,,14,0,6.5,2,bezproudoff.cz,6.5,0,0
-1,1,2,-1,14,14,ceskarepublika.net,0,0,0,1,,18,0,8.5,2,ceskarepublika.net,8.5,0,0
-1,1,2,-1,7,7,hotspot.cz,0,0,0,1,,10,0,4.5,2,hotspot.cz,4.5,0,0
-1,1,3,-1,6,6,gmcjjh.org/DHL,0,0,0,1,,14,0,4.0,3,gmcjjh.org/DHL,4.0,0,0
-1,1,4,-1,9,9,nerez-schodiste-zabradli.com,0,0,0,1,,28,0,6.25,4,nerez-schodiste-zabradli.com,6.25,0,0
-1,1,2,-1,13,13,nordiccountry.cz,0,0,0,1,,16,0,7.5,2,nordiccountry.cz,7.5,0,0
-1,1,2,-1,6,6,nowina.info,0,0,0,1,,11,0,5.0,2,nowina.info,5.0,0,0
-1,1,3,-1,12,12,obada-konstruktiwa.org,0,0,0,1,,22,0,6.666666666666667,3,obada-konstruktiwa.org,6.666666666666667,0,0
-1,1,2,-1,15,15,otylkaaotesanek.cz,0,0,0,1,,18,0,8.5,2,otylkaaotesanek.cz,8.5,0,0
-1,1,3,-1,9,9,pb-webdesign.net,0,0,0,1,,16,0,4.666666666666667,3,pb-webdesign.net,4.666666666666667,0,0
-1,1,3,-1,7,7,pension-helene.cz,0,0,0,1,,17,0,5.0,3,pension-helene.cz,5.0,0,0
-1,1,3,-1,7,7,podzemi.myotis.info,0,0,0,2,,19,0,5.666666666666667,3,podzemi.myotis.info,5.666666666666667,0,0
-1,1,2,-1,6,6,smrcek.com,0,0,0,1,,10,0,4.5,2,smrcek.com,4.5,0,0
-1,1,2,-1,8,8,spekband.com,0,0,0,1,,12,0,5.5,2,spekband.com,5.5,0,0
-1,1,6,-1,9,9,m2132.ehgaugysd.net/zyso.cgi?18,0,0,0,3,,31,0,4.8,5,m2132.ehgaugysd.net/zyso.cgi,4.333333333333333,0,0
-1,1,5,-1,8,13,webcom-software.ws/links/?153646e8b0a88,0,0,0,1,,39,0,5.25,4,webcom-software.ws/links/,6.8,0,0
-1,1,2,-1,12,12,worldgymperu.com,0,0,0,1,,16,0,7.5,2,worldgymperu.com,7.5,0,0
